severity,path,hard,soft,amb,style
HIGH,/mnt/data/project_extracted_callen5_session/40_exports/episode1_v6.md,3,1,15,10
LOW,/mnt/data/project_extracted_callen5_session/10_drafts/05_lore_audit_20250904T233106Z.json,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/10_drafts/05_lore_audit_report_20250904T233106Z.md,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/10_drafts/episode1_final.md,0,0,0,56
LOW,/mnt/data/project_extracted_callen5_session/10_drafts/episode1_v1.md,0,0,0,56
LOW,/mnt/data/project_extracted_callen5_session/10_drafts/episode1_v1_20250904T232522Z.md,0,0,0,5
LOW,/mnt/data/project_extracted_callen5_session/10_drafts/episode1_v2_20250904T234107Z.md,0,0,0,5
LOW,/mnt/data/project_extracted_callen5_session/10_drafts/episode1_v3.md,0,0,0,14
LOW,/mnt/data/project_extracted_callen5_session/10_drafts/scaffold_20250904T231329Z.json,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/10_drafts/scaffold_20250904T231329Z.md,0,0,0,4
LOW,/mnt/data/project_extracted_callen5_session/10_drafts/scaffold_annotated_20250904T231329Z.json,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/30_rewrites/08_post_validators_20250905T073723Z.json,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/30_rewrites/episode1_v5b_20250905T073723Z_fixed.md,0,0,0,14
LOW,/mnt/data/project_extracted_callen5_session/40_exports/08_post_validators_20250905T073723Z.json,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/40_exports/E1_S1-extract-hooks.md,0,0,0,5
LOW,/mnt/data/project_extracted_callen5_session/40_exports/episode1_v5.md,0,0,0,14
LOW,/mnt/data/project_extracted_callen5_session/artifacts/06_validation_report_20250904T233716Z.md,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/artifacts/06_validators_20250904T233716Z.json,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/artifacts/ideation.md,0,0,1,0
LOW,/mnt/data/project_extracted_callen5_session/artifacts/ideation_scores.json,0,0,1,0
LOW,/mnt/data/project_extracted_callen5_session/memory/MemoryLog_Lore.yml,0,0,0,2
LOW,/mnt/data/project_extracted_callen5_session/presets/scoring_presets.yml,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/Theme/Theme_HumanPolish.yml,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/tickets/01_E1_S1-ideate-refs.yml,0,0,0,1
LOW,/mnt/data/project_extracted_callen5_session/tickets/10_E1_S1-human-polish-refs.yml,0,0,0,1
